DNS	﻿A.D.N.
kleine Schürfwunde	écorchure
wund	écorché
Muskelmann	écorché
Kanten abstoßen	écorner
anbrechen	écorner
angreifen	écorner
die Ecken	écorner
die Ecken abstoßen	écorner
die Kanten abstoßen	écorner
betteln	écornifler
schnorren	écornifler
schottisch	écossais
Schotte	écossais
Schottenstoff	écossais
Schottin	écossais
Schottin	écossaise
aushülsen	écosser
ausschoten	écosser
enthülsen	écosser
Ökosystem	écosystème
Anteil	écot
Zeche	écot
Abfließen	écoulement
Abfluß	écoulement
Abflußgraben	écoulement
Ablauf	écoulement
Ablaufen	écoulement
Absatz	écoulement
Absonderung	écoulement
Abwicklung	écoulement
Ausfluß	écoulement
Auslaufen	écoulement
Dahinfließen	écoulement
Erguß	écoulement
Fluß	écoulement
Hinausströmen	écoulement
In-Umlauf-Setzen	écoulement
Sickerverlust	écoulement
Verbreitung	écoulement
Verkauf	écoulement
Verkehrsfluß	écoulement
Verlauf	écoulement
Vertrieb	écoulement
Verkehrsfluß	écoulement du trafic
ablaufen	écouler
absetzen	écouler
dahinfließen	écouler
in Umlauf setzen bringen	écouler
umsetzen	écouler
verbreiten	écouler
verkaufen	écouler
vertreiben	écouler
verkauft	écoulé
abkürzen	écourter
kürzen	écourter
sinnentstellend kürzen	écourter
stutzen	écourter
verkürzen	écourter
verstümmeln	écourter
zusammenstreichen	écourter
Abhören	écoute
Hören	écoute
Schot	écoute
Schote	écoute
Segelleine	écoute
abhorchen	écouter
abhören	écouter
anhören	écouter
belauschen	écouter
gehorchen	écouter
horchen auf +	écouter
hören	écouter
zuhören	écouter
Hörer	écouteur
Telefonhörer	écouteur
Luke	écoutille
Flaschenbürste	écouvillon
zermalmen	écrabouiller
zermatschen	écrabouiller
zerquetschen	écrabouiller
zertreten	écrabouiller
Abschirmung	écran
Bildfläche	écran
Bildschirm	écran
Bildwand	écran
Filter	écran
Leinwand	écran
Röntgenschirm	écran
Schirm	écran
Wärmeabschirmer	écran de chaleur
Schutzschild	écran de protection
Strahlenschutz	écran protecteur
Wärmeschutzschild	écran thermique
drückend	écrasant
durchgreifend	écrasant
durchschlagend	écrasant
enorm	écrasant
erdrückend	écrasant
gewaltig	écrasant
haushoch	écrasant
vernichtend	écrasant
weit überlegen	écrasant
überwältigend	écrasant
halt die Klappe	écrase
Niederschlagung	écrasement
Niederwerfung	écrasement
Vernichtung	écrasement
Zerdrücken	écrasement
Zermalmen	écrasement
Zerquetschen	écrasement
Zerquetschung	écrasement
Zerschlagung	écrasement
Zerschmetterung	écrasement
Flugzeugabsturz	écrasement au sol
Flugzeugunglück	écrasement au sol
abfertigen	écraser
abquetschen	écraser
an die Wand drücken	écraser
drastisch reduzieren	écraser
erdrücken	écraser
ganz durchtreten	écraser
haushoch überlegen sein	écraser
mahlen	écraser
niederschlagen	écraser
niedertreten	écraser
niederwerfen	écraser
schlagen	écraser
stauchen	écraser
totfahren	écraser
totschlagen	écraser
treten auf	écraser
vernichten	écraser
vernichtend schlagen	écraser
weit überlegen sein	écraser
zerdrücken	écraser
zermalmen	écraser
zerquetschen	écraser
zerschellen	écraser
zerschlagen	écraser
zertreten	écraser
zertrümmern	écraser
zu Tode trampeln	écraser
überfahren	écraser
überwältigen	écraser
totfahren	écraser avec un véhicule
zertreten	écraser du pied
Verkehrsrowdy	écraseur
gemahlen	écrasé
zerdrückt	écrasé
zermalmt	écrasé
FlußKrebs	écrevisse
Flußkrebs	écrevisse
Krebs	écrevisse
Etui	écrin
Kasten	écrin
Kästchen	écrin
Schatulle	écrin
Schmuckkasten	écrin
Schmuckkästchen	écrin
geschrieben	écrire
schriftlich	écrire
Schrift	écrire
Schriftliche	écrire
Schriftliches	écrire
Schriftstück	écrire
einer Prüfung	écrire
schriftliche Prüfung	écrire
aufschreiben	écrire
beschrieben	écrire
dichten	écrire
niederschreiben	écrire
schreiben	écrire
schriftstellern	écrire
verfassen	écrire
brieflich	écrit
geschrieben	écrit
schriftlich	écrit
Schreiben	écrit
Schrift	écrit
Schriftliche	écrit
Schriftliches	écrit
Schriftstück	écrit
schriftliche Prüfung	écrit
schriftlicher Teil	écrit
eigenhändig geschrieben	écrit de sa main
eigenhändig geschrieben	écrit de sa propre main
persönlich	écrit à la main
Hinweisschild	écriteau
Schild	écriteau
Schreibgarnitur	écritoire
Schreibzeug	écritoire
Schriften	écrits
Buchung	écriture
Dokument	écriture
Eintragung	écriture
Handschrift	écriture
Schreiben	écriture
Schrift	écriture
Schriftbild	écriture
Schriftstellerberuf	écriture
Schriftstellerei	écriture
Schriftstück	écriture
Schrifttum	écriture
Schriftzüge	écriture
Stil	écriture
Urkunde	écriture
Blindenschrift	écriture Braille
Blindenschrift	écriture braille
Schönschrift	écriture calligraphique
Schrägdruck	écriture couchée
Schrägschrift	écriture couchée
Spiegelschrift	écriture en miroir
Gekritzel	écriture illisible
Schreibschrift	écriture manuscrite
Spiegelschrift	écriture spéculaire
Silbenschrift	écriture syllabique
Schriftverkehr	écritures
Schriftwechsel	écritures
geschäftliche Aufzeichnungen	écritures
einen Stiefel zusammenschreiben	écrivailler
viel zusammenschreiben	écrivailler
Federfuchser	écrivailleur
Schreiberling	écrivailleur
Skribent	écrivailleur
Vielschreiber	écrivailleur
Schreiberling	écrivaillon
Vielschreiber	écrivaillon
Dichter	écrivain
Schreiber	écrivain
Schrifsteller	écrivain
Schriftsteller	écrivain
Satiriker	écrivain satirique
Dichterin	écrivaine
Schriftstellerin	écrivaine
Vielschreiber	écrivassier
Inhaftierung	écrou
Inhaftnahme	écrou
Mutter	écrou
Schraubenmutter	écrou
Sechskantmutter	écrou H
Vierkantmutter	écrou carré
Sechskantmutter	écrou hexagonal
Flügelmutter	écrou à oreilles
Sechskantmutter	écrou à six pans
Skrofel	écrouelles
Skrofeln	écrouelles
einliefern	écrouer
einsperren	écrouer
inhaftieren	écrouer
ins Gefängnis einliefern	écrouer
Abrutsch	écroulement
Einsturz	écroulement
Einstürzen	écroulement
Zusammenbrechen	écroulement
Zusammenbruch	écroulement
ungebleicht	écru
Entrahmen	écrémage
Entrahmung	écrémage
Beste nehmen	écrémer
abrahmen	écrémer
absahnen	écrémer
abschäumen	écrémer
das Beste nehmen	écrémer
den Rahm abschöpfen	écrémer
entrahmen	écrémer
sich das Beste nehmen	écrémer
Entrahmer	écrémeuse
Milchzentrifuge	écrémeuse
Schleuder	écrémeuse
Wehrmauer	écrêter
Schild	écu
Wappenschild	écu
ecu	écu
Felsenriff	écueil
Klippe	écueil
Riff	écueil
Felsenriff	écueils
Napf	écuelle
Napfvoll	écuelle
Schale	écuelle
Schale voll	écuelle
Schüssel	écuelle
eine Schale voll	écuelle
schieflaufen	éculer
abgedroschen	éculé
abgegriffen	éculé
abgelaufen	éculé
abgeleiert	éculé
abgreifen	éculé
billig	éculé
schiefgelaufen	éculé
schiefgetreten	éculé
schaumig	écumant
schäumend	écumant
Abschaum	écume
Geifer	écume
Gischt	écume
Schaum	écume
Schweiß	écume
Gischt aufwerfen	écumer
Gischt sprühen	écumer
Schaum bilden	écumer
abklappern	écumer
abschäumen	écumer
den Schaum abschöpfen	écumer
schäumen	écumer
sich mit Schaum bedecken	écumer
geifern	écumer de rage
Freibeuter	écumeur des mers
Seeräuber	écumeur des mers
schaumbedeckt	écumeux
schaumig	écumeux
schäumend	écumeux
Schaumkelle	écumoire
Schaumlöffel	écumoire
demoralisieren	écurer
Eichhörnchen	écureuil
Marstall	écurie
Pferdestall	écurie
Rennstall	écurie
Schweinestall	écurie
Stall	écurie
Marstall	écuries
Kartusche mit Wappenschmuck	écusson
Kragenspiegel	écusson
Schild	écusson
Türschild	écusson
Wappenschild	écusson
Wapperl	écusson
Edelmann	écuyer
Knappe	écuyer
Kunstreiter	écuyer
Reiter	écuyer
Reitlehrer	écuyer
Schildknappe	écuyer
Stallmeister	écuyer
guter Reiter	écuyer
junger Edelmann	écuyer
Zirkusreiter	écuyer de cirque
Kunstreiterin	écuyère
Reiterin	écuyère
ekelhaft	écœurant
ekelig	écœurant
eklig	écœurant
empörend	écœurant
entmutigend	écœurant
schwindelig	écœurant
schwindlig	écœurant
widerlich	écœurant
widerlich fett	écœurant
widerlich süß	écœurant
widerwärtig	écœurant
übel	écœurant
Abscheu	écœurement
Ekel	écœurement
Niedergeschlagenheit	écœurement
Widerwillen	écœurement
Übelkeit	écœurement
Überdruß	écœurement
den Magen umdrehen	écœurer
Übelkeit erregen	écœurer
überdrüssig sein	écœurer
tief betrübt	écœuré
Edamer	édam
Edamer Käse	édam
Zinken	édenté
mit abgebrochenen Zähnen	édenté
zahnlos	édenté
erlassen	édicter
verkünden	édicter
verkündigen	édicter
verordnen	édicter
vorschreiben	édicter
Häuschen	édicule
aufschlußreich	édifiant
erbaulich	édifiant
lehrreich	édifiant
Aufbau	édification
Bau	édification
Belehrung	édification
Erbauung	édification
Errichtung	édification
Erstellung	édification
Schaffung	édification
Bau	édifice
Bauwerk	édifice
Gebäude	édifice
bauliche Anlage	édifice
eindrucksvolles Gebäude	édifice
Gesellschaftsordnung	édifice social
andächtig stimmen	édifier
aufbauen	édifier
aufklären	édifier
aufstellen	édifier
bebauen	édifier
begründen	édifier
belehren	édifier
besinnlich stimmen	édifier
erbauen	édifier
errichten	édifier
erstellen	édifier
schaffen	édifier
Ädil	édile
Dekret	édit
Edikt	édit
Erlaß	édit
Verordnung	édit
durchsehen	éditer
edieren	éditer
herausbringen	éditer
herausgeben	éditer
verlegen	éditer
Editor	éditeur
Herausgeber	éditeur
Verlag	éditeur
Verlagshaus	éditeur
Verleger	éditeur
Texteditor	éditeur de texte
Auflage	édition
Ausgabe	édition
Edition	édition
Herausgabe	édition
Verlagswesen	édition
Veröffentlichung	édition
Buchwesen	édition de livres
Taschenausgabe	édition de poche
Taschenbuchausgabe	édition de poche
Gesamtausgabe	édition des œuvres complètes
Sonntagsausgabe	édition dominicale
Abendausgabe	édition du soir
Einzelausgabe	édition hors série
Volksausgabe	édition populaire
Schulausgabe	édition scolaire
Extraausgabe	édition spéciale
Extrablatt	édition spéciale
Sonderausgabe	édition spéciale
Sonderdruck	édition spéciale
Einzelausgabe	édition séparée
Selbstverlag	édition à compte d'auteur
Verlagshaus	éditions
Leitartikel	éditorial
Leitartikler	éditorialiste
Herausgeberin	éditrice
Verlegerin	éditrice
Daunenbett	édredon
Daunendecke	édredon
Deckbett	édredon
Federbett	édredon
Plumeau	édredon
Schlafdecke	édredon
erziehbar	éducable
erziehungsfähig	éducable
Erzieher	éducateur
Erzieher-	éducateur
erzieherisch	éducateur
Erzieher	éducateur
Pädagoge	éducateur
Erziehungs	éducatif
Erziehungs-	éducatif
belehrend	éducatif
bildend	éducatif
erzieherisch	éducatif
erziehlich	éducatif
pädagogisch	éducatif
pädagogisch wertvoll	éducatif
Ausbildung	éducation
Bildung	éducation
Erziehen	éducation
Erziehung	éducation
Schulbildung	éducation
Schulung	éducation
Sitten	éducation
Gemeinschaftserziehung	éducation civique
Sozialkunde	éducation civique
Gedächtnisschulung	éducation de la mémoire
Gedächtnisübung	éducation de la mémoire
Werken	éducation manuelle
Werkunterricht	éducation manuelle
Gemeinschaftserziehung	éducation mixte
ständige Weiterbildung	éducation permanente
Sportpädagogik	éducation physique
Sportunterricht	éducation physique
Vorschulerziehung	éducation préscolaire
Schulausbildung	éducation scolaire
Schulbildung	éducation scolaire
Sexualerziehung	éducation sexuelle
Sexualpädagogik	éducation sexuelle
sexuelle Aufklärung	éducation sexuelle
Sonderpädagogik	éducation spéciale
Sonderschulpädagogik	éducation spéciale
Erzieherin	éducatrice
Pädagogin	éducatrice
Süßstoff	édulcorant
Süßstoff hinzufügen	édulcorer
abschwächen	édulcorer
entkräften	édulcorer
entschärfen	édulcorer
mildern	édulcorer
schwächen	édulcorer
schwächer machen	édulcorer
süßen	édulcorer
versüßen	édulcorer
verwässern	édulcorer
ausbilden	éduquer
bilden	éduquer
erziehen	éduquer
schulen	éduquer
desgleichen	égal
deckungsgleich	égal
eben	égal
ebenbürtig	égal
egal	égal
einerlei	égal
flach	égal
gerade	égal
gleich	égal
gleichbleibend	égal
gleichförmig	égal
gleichgültig	égal
gleichmäßig	égal
kongruent	égal
platt	égal
auch	également
desgleichen	également
ebenfalls	également
ebenso	également
genauso	également
gleich	également
gleichermaßen	également
gleichfalls	également
in gleicher Weise	également
egalisieren	égaler
einstellen	égaler
gleichkommen	égaler
gleichsetzen	égaler
wetteifern	égaler
Ausgleichs	égalisateur
ausgleichend	égalisateur
Angleichung	égalisation
Anpassung	égalisation
Ausgleich	égalisation
abgleichen	égaliser
angleichen	égaliser
anpassen	égaliser
ausgleichen	égaliser
den Ausgleich erzielen	égaliser
ebnen	égaliser
egalisieren	égaliser
einander angleichen	égaliser
einander anpassen	égaliser
einebnen	égaliser
geradeschneiden	égaliser
gleich lang schneiden	égaliser
gleichmachen	égaliser
gleichmäßig verteilen	égaliser
gleichziehen	égaliser
planieren	égaliser
Equalizer	égaliseur
Gleichheit aller gerichtet	égalitaire
egalitär	égalitaire
politische	égalitaire
Egalitarismus	égalitarisme
40 beide	égalité
Deckungsgleichheit	égalité
Ebenbürtigkeit	égalité
Ebenheit	égalité
Einstand	égalité
Flachheit	égalité
Gleichförmigkeit	égalité
Gleichheit	égalité
Gleichmäßigkeit	égalité
Kongruenz	égalité
Unentschieden	égalité
Ebenbürtigkeit	égalité de valeur
Chancengleichheit	égalité des chances
Hinsicht	égard
Rücksicht	égard
Überlegung	égard
Schonung	égards
Geistesverwirrung	égarement
Verfehlung	égarement
Verirrung	égarement
geistige Verwirrung	égarement
fehlleiten	égarer
in die Irre führen	égarer
irreführen	égarer
irreleiten	égarer
trüben	égarer
verlegen	égarer
verwirren	égarer
abgezehrt	égaré
abhanden gekommen	égaré
der sich verfahren hat	égaré
fehlgeleitet	égaré
irr	égaré
irre	égaré
verirrt	égaré
verlegt	égaré
verlorengegangen	égaré
verstört	égaré
verwirrt	égaré
verzweifelt	égaré
vom rechten Weg abgekommen	égaré
von Sorgen gezeichnet	égaré
angenehm gestalten	égayer
angenehm machen	égayer
aufheitern	égayer
auflockern	égayer
beleben	égayer
erfreuen	égayer
erheitern	égayer
freundlich gestalten	égayer
freundlich machen	égayer
froh stimmen	égayer
heiter stimmen	égayer
Bürgschaft	égide
Schirmherrschaft	égide
Schutz	égide
wilder Rosenstrauch	églantier
Heckenrose	églantine
wilde Rose	églantine
Schellfisch	églefin
Gotteshaus	église
Kirche	église
Stiftskirche	église collégiale
Wallfahrtskirche	église de pèlerinage
Metropolitankirche	église métropolitaine
egozentrisch	égocentrique
ichbezogen	égocentrique
Egozentriker	égocentrique
Egozentrik	égocentrisme
Ichbezogenheit	égocentrisme
Selbstsucht	égocentrisme
die Kehle durchschneiden	égorger
durchschneiden	égorger
Mörder	égorgeur
Egotismus	égotisme
Selbstgefälligkeit	égotisme
Selbstliebe	égotisme
selbstgefällig	égotiste
selbstsüchtig	égotiste
Abflußgraben	égout
Abwasserkanal	égout
Abwasserleitung	égout
Abzugskanal	égout
Ausgußrohr	égout
Kloake	égout
Siel	égout
Wasserabfluß	égout
Hauptkanal	égout collecteur
Hauptsammelkanal	égout collecteur
Sammler	égout collecteur
Kanalreiniger	égoutier
Kanalräumer	égoutier
abgießen	égoutter
abschütten	égoutter
trockenlegen	égoutter
Abtropfbrett	égouttoir
Abtropfgestell	égouttoir
Abtropfkörbchen	égouttoir
Abtropfständer	égouttoir
Geschirrablage	égouttoir
Trockenständer	égouttoir
Fuchsschwanz	égoïne
Stichsäge	égoïne
Egoismus	égoïsme
Eigennutz	égoïsme
Selbstsucht	égoïsme
egoistisch	égoïste
eigennützig	égoïste
selbstsüchtig	égoïste
Egoist	égoïste
aufkratzen	égratigner
aufritzen	égratigner
eine Schramme machen in	égratigner
einen Kratzer machen in	égratigner
schrammen	égratigner
verschrammen	égratigner
zerkratzen	égratigner
zerschrammen	égratigner
Kratzer	égratignure
Kratzwunde	égratignure
Schramme	égratignure
Schürfung	égratignure
Schürfwunde	égratignure
zerschrammt	égratigné
abbeeren	égrener
auskörnen	égrener
entkörnen	égrener
rebeln	égrener
frech	égrillard
gewagt	égrillard
lüstern	égrillard
schlüpfrig	égrillard
kränkelnd	égrotant
kränklich	égrotant
ägyptisch	égyptien
Ägypter	égyptien
Ägypterin	égyptienne
Ägyptologie	égyptologie
Ägyptologe	égyptologue
Ägyptologin	égyptologue
Muse	égérie
Ratgeberin	égérie
guter Geist	égérie
dreist	éhonté
frech	éhonté
schamlos	éhonté
unverschämt	éhonté
Ejakulation	éjaculation
Erguß	éjaculation
Samenerguß	éjaculation
Ejaculatio praecox	éjaculation précoce
vorzeitiger Samenerguß	éjaculation précoce
Samen ausspritzen	éjaculer
ejakulieren	éjaculer
ausstoßen	éjecter
auswerfen	éjecter
Ejektor	éjecteur
Ausstoß	éjection
Ausstoßen	éjection
Auswerfen	éjection
Herausschleudern	éjection
Ausarbeitung	élaboration
Bildung	élaboration
Detaillieren	élaboration
Erarbeitung	élaboration
Erstellung	élaboration
sorgfältige Ausführung	élaboration
abfassen	élaborer
ausarbeiten	élaborer
bilden	élaborer
erarbeiten	élaborer
erstellen	élaborer
verarbeiten	élaborer
verfassen	élaborer
durchdacht	élaboré
Auslichten	élagage
Ausschneiden	élagage
Kürzung	élagage
Streichung	élagage
abhacken	élaguer
auslichten	élaguer
ausschneiden	élaguer
beschneiden	élaguer
entasten	élaguer
kürzen	élaguer
streichen	élaguer
stutzen	élaguer
wegschneiden	élaguer
zusammenstreichen	élaguer
Anlauf	élan
Begeisterung	élan
Dynamik	élan
Elan	élan
Elch	élan
Elenantilope	élan
Feuer	élan
Schwung	élan
Sprung	élan
Temperament	élan
Schaffensdrang	élan créateur
Elch	élan du Canada
Schmerz	élancement
Stich	élancement
stechender Schmerz	élancement
heftig stechen	élancer
stechen	élancer
stechende Schmerzen verursachen	élancer
gertenschlank	élancé
hoch aufgeschossen	élancé
lang	élancé
rank	élancé
schlank	élancé
schlankgewachsen	élancé
von schlankem Wuchs	élancé
erweitert	élargi
freigelassen	élargi
verbreitert	élargi
vergrößert	élargi
auftragen	élargir
ausdehnen	élargir
ausweiten	élargir
breiter erscheinen lassen	élargir
breiter machen	élargir
dehnen	élargir
dick machen	élargir
dicker machen	élargir
entlassen	élargir
erweitern	élargir
freilassen	élargir
größer machen	élargir
verbreitern	élargir
vergrößern	élargir
voller erscheinen lassen	élargir
weiten	élargir
weiter fassen	élargir
weiter machen	élargir
sein Wissen erweitern	élargir ses horizons
seinen Horizont erweitern	élargir ses horizons
sich geistig entfalten	élargir ses horizons
wachsend	élargissant
Ausdehnung	élargissement
Erweiterung	élargissement
Freilassung	élargissement
Verbreiterung	élargissement
Vergrößerung	élargissement
Weitermachen	élargissement
Weitung	élargissement
Bewußtseinsentwicklung	élargissement du champ de la conscience
Dehnbarkeit	élasticité
Elastizität	élasticité
Federkraft	élasticité
Federn	élasticité
Flexibilität	élasticité
Gefügigkeit	élasticité
Schnellkraft	élasticité
Spannkraft	élasticité
dehnbar	élastique
elastisch	élastique
federnd	élastique
flexibel	élastique
geschmeidig	élastique
gestaltungsfähig	élastique
Elastik	élastique
Gummi	élastique
Gummiband	élastique
Gummiring	élastique
Gummizug	élastique
Elaste	élastomères
Elastomere	élastomères
Wahlberechtigte	électeur
Wähler	électeur
Stimmberechtigte	électeur inscrit
Stimmberechtigter	électeur inscrit
Wahlberechtigte	électeur inscrit
Stimmvolk	électeurs
Wählerschaft	électeurs
Wahl	électif
Wahl-	électif
durch Wahl	électif
durch Wahl bestimmt	électif
durch Wahl zu vergeben	électif
durch Wahl zu vergebend	électif
Entscheidung	élection
Wahl	élection
Verhältniswahl	élection proportionnelle
Bundestagswahl	élections au Bundestag
Gemeindewahlen	élections municipales
Kommunalwahlen	élections municipales
Wahl	électoral
Wahl-	électoral
Wähler	électoral
Wähler-	électoral
wahlberechtigt	électoral
Wahlpropaganda	électoralisme
Wahltaktik	électoralisme
wahltaktisch	électoraliste
Kurfürstentum	électorat
Wahlrecht	électorat
Wähler	électorat
Wählerschaft	électorat
Wahlberechtigte	électrice
Wählerin	électrice
Wahlberechtigte	électrice inscrite
Elektriker	électricien
Elektroarbeiter	électricien
Elektroinstallateur	électricien
Elektromonteur	électricien
Elektrotechniker	électricien
Elektrikerin	électricienne
Elektrizität	électricité
elektrischer Strom	électricité
Elektrifikation	électrification
Elektrifizierung	électrification
an das Stromnetz anschließen	électrifier
an die Stromversorgung	électrifier
auf elektrischen Betrieb umstellen	électrifier
elektrifizieren	électrifier
Elektro	électrique
Elektro-	électrique
elektrisch	électrique
lebhaft	électrique
spontan	électrique
Elektrisierung	électrisation
Ladung	électrisation
aufrütteln	électriser
begeistern	électriser
der Wirkung des elektrischen Stromes aussetzen	électriser
elektrisieren	électriser
mitreißen	électriser
elektroakustisch	électro-acoustique
Elektroakustik	électro-acoustique
Elektromagnet	électro-aimant
Elektroenzephalogramm	électro-encéphalogramme
Elektroenzephalograph	électro-encéphalographe
EKG	électrocardiogramme
Elektrokardiogramm	électrocardiogramme
Elektrokardiogramm EKG	électrocardiogramme
Elektrokardiograph	électrocardiographe
Elektrokardiographie	électrocardiographie
Elektrochemie	électrochimie
elektrochemisch	électrochimique
Elektroschock	électrochoc
Elektroschock	électrochocs
Elektroschockbehandlung	électrochocs
durch elektrischen Strom töten	électrocuter
Hinrichtung durch elektrischen Strom	électrocution
Tötung	électrocution
tödliche Starkstromverletzung	électrocution
tödlicher elektrischer Schlag	électrocution
Elektrode	électrode
Spiralelektrode	électrode spiraliforme
elektrodynamisch	électrodynamique
Elektrodynamik	électrodynamique
Galvanisieren	électrodéposition
stromerzeugend	électrogène
Elektrolyse	électrolyse
elektrolysieren	électrolyser
Elektrolyt	électrolyte
Elektrolyt	électrolytique
Elektrolyt-	électrolytique
elektrolytisch	électrolytique
elektromagnetisch	électromagnétique
Elektromagnetismus	électromagnétisme
elektromotorisch	électromoteur
Elektromechaniker	électromécanicien
elektromechanisch	électromécanique
Elektromechanik	électromécanique
Elektron	électron
Elektron Elektron	électron
Elektroniker	électronicien
Elektronikerin	électronicienne
Elektronen	électronique
Elektronen-	électronique
elektronisch	électronique
Elektronik	électronique
Unterhaltungselektronik	électronique de loisir
elektronisch	électroniquement
Phonokoffer	électrophone
Plattenspieler	électrophone
Xerographie	électrophotographie
elektrostatisch	électrostatique
Elektrostatik	électrostatique
Elektrotechniker	électrotechnicien
elektrotechnisch	électrotechnique
Elektrotechnik	électrotechnique
Elektrotherapie	électrothérapie
Aufzucht	élevage
Haltung	élevage
Tierzucht	élevage
Viehwirtschaft	élevage
Viehzucht	élevage
Zucht	élevage
Züchten	élevage
Züchtung	élevage
Tierzucht	élevage d'animaux
Viehzucht	élevage de bétail
Ziegenzucht	élevage de chèvres
Schafzucht	élevage de moutons
Schweinehaltung	élevage de porcs
Geflügelzucht	élevage de volaille
Geflügelaufzucht	élevage de volailles
Geflügelhaltung	élevage de volailles
Geflügelzucht	élevage de volailles
Pelztierzucht	élevage des animaux à fourrure
Pelztierzucht	élevage des bêtes à fourrure
Schweinehaltung	élevage des porcs
Schweinezucht	élevage des porcs
Viehwirtschaft	élevage du bétail
anheben	élever
aufführen	élever
aufmauern	élever
aufschütten	élever
aufstellen	élever
aufziehen	élever
befördern	élever
einlegen	élever
emporheben	élever
erheben	élever
erhoben	élever
erhöhen	élever
errichten	élever
erziehen	élever
großziehen	élever
heben	élever
heraufsetzen	élever
hochziehen	élever
schärfen	élever
stemmen	élever
vorbringen	élever
züchten	élever
verhätscheln	élever dans du coton
Viehzucht betreiben	élever du bétail
Vieh halten	élever du bétail
Vieh züchten	élever du bétail
erhöhen	élever le prix de
Viehzüchter	éleveur
Züchter	éleveur
Viehzüchter	éleveur de bétail
Schweinezüchter	éleveur de porcs
Viehzüchterin	éleveuse
Züchterin	éleveuse
beschleunigt	élevé
edel	élevé
erhaben	élevé
erhöht	élevé
gehoben	élevé
hoch	élevé
hochgelegen	élevé
ausstoßen	élider
elidieren	élider
weglassen	élider
Wählbarkeit	éligibilité
passives Wahlrecht	éligibilité
berechtigt	éligible
wählbar	éligible
Ausschaltung	élimination
Ausscheiden	élimination
Ausscheidung	élimination
Ausschluß	élimination
Behebung	élimination
Beseitigung	élimination
Elimination	élimination
Eliminieren	élimination
Eliminierung	élimination
Abfallbeseitigung	élimination des déchets
Abfallverwertung	élimination des ordures ménagères
Ausscheidungs	éliminatoire
Ausscheidungs-	éliminatoire
den Ausschluß bedingend	éliminatoire
Ausscheidungskämpfe	éliminatoires
Ausscheidungswettkämpfe	éliminatoires
abschaffen	éliminer
aus dem Weg räumen	éliminer
ausmerzen	éliminer
ausräumen	éliminer
ausschalten	éliminer
ausscheiden	éliminer
ausschließen	éliminer
aussondern	éliminer
beseitigen	éliminer
eliminieren	éliminer
entsorgen	éliminer
erledigen	éliminer
verwischen	éliminer
entsorgen	éliminer les déchets
entsorgen	éliminer les déchets de
abgetragen	élimé
abgewetzt	élimé
durchgescheuert	élimé
fadenscheinig	élimé
wählen	élire
seinen Wohnsitz nehmen	élire domicile
seinen Wohnsitz nehmen in	élire domicile en
seinen Wohnsitz nehmen in	élire domicile à
elisabethanisch	élisabéthain
Elision	élision
elitär	élitaire
Auslese	élite
Auswahl	élite
Elite	élite
Weltklasse	élite mondiale
elitäres System	élitisme
elitär	élitiste
elitäre Person	élitiste
Elixier	élixir
Heiltrank	élixir
Diktion	élocution
Redeweise	élocution
Sprechtechnik	élocution
Sprechweise	élocution
Vortrag	élocution
Vortragsart	élocution
Lob	éloge
Lobrede	éloge
Denkrede	éloge funèbre
anerkennend	élogieux
einschmeichelnd	élogieux
lobend	élogieux
schmeichelhaft	élogieux
schmeichlerisch	élogieux
Abgelegenheit	éloignement
Abstand	éloignement
Abwesenheit	éloignement
Distanz	éloignement
Entfernen	éloignement
Entfernung	éloignement
Entfremdung	éloignement
Entlegenheit	éloignement
Fernsein	éloignement
abbringen	éloigner
abführen	éloigner
abrücken	éloigner
entfernen	éloigner
entfremden	éloigner
fortbewegen	éloigner
verjagen	éloigner
vertreiben	éloigner
wegbringen	éloigner
weghalten	éloigner
wegrücken	éloigner
wegschaffen	éloigner
wegstellen	éloigner
weiter wegstellen	éloigner
zur Seite rücken	éloigner
zur Seite schieben	éloigner
wegrollen	éloigner en roulant
abgelegen	éloigné
abgeneigt	éloigné
abgesondert	éloigné
die Zuneigung verloren	éloigné
entfernt	éloigné
entlegen	éloigné
fern	éloigné
längst vergangen	éloigné
weit	éloigné
weit entfernt	éloigné
weit zurückliegend	éloigné
weitläufig	éloigné
verschieden von	éloigné de
Dehnung	élongation
Zerrung	élongation
Überdehnung	élongation
Beredsamkeit	éloquence
Beredtheit	éloquence
Eloquenz	éloquence
Redegabe	éloquence
Redekunst	éloquence
Sprachfertigkeit	éloquence
Sprachgewandtheit	éloquence
bedeutungsvoll	éloquent
beredsam	éloquent
beredt	éloquent
eloquent	éloquent
redegewandt	éloquent
sprachgewandt	éloquent
sprechend	éloquent
treffend	éloquent
vielsagend	éloquent
wirkungsvoll	éloquent
wortgewaltig	éloquent
wortgewandt	éloquent
auserkoren	élu
auserwählt	élu
erwählt	élu
gewählt	élu
Auserkorener	élu
Auserwählter	élu
Aufklärung	élucidation
Erhellung	élucidation
Erklärung	élucidation
aufhellen	élucider
aufklären	élucider
erhellen	élucider
erklären	élucider
erläutern	élucider
verdeutlichen	élucider
Hirngespinste	élucubrations
aus dem Weg gehen	éluder
ausweichen	éluder
entkommen	éluder
entziehen	éluder
geschickt ausweichen	éluder
sich entziehen	éluder
umgehen	éluder
Auserkorene	élue
Auserwählte	élue
Strandhafer	élyme
des Elyseepalastes	élyséen
des Elysees	élyséen
elysisch	élyséen
