EFTA	﻿A.E.L.E.
estructurado	suivi
lógico	suivi
regular	suivi
seguimiento	suivi
atender	suivre
bordear	suivre
comprender	suivre
correr tras	suivre
cumplir	suivre
entender	suivre
escuchar	suivre
ir tras	suivre
irse tras	suivre
llevar	suivre
mirar	suivre
perseguir	suivre
regir	suivre
resultar de	suivre
seguir	suivre
seguirse	suivre
suceder	suivre
ver	suivre
seguir clases	suivre des cours
seguir enseñanza	suivre des cours
adelgazar	suivre un régime
cuidar de la línea	suivre un régime
cuidar la línea	suivre un régime
estar a régimen	suivre un régime
guardar la línea	suivre un régime
seguir un régimen	suivre un régime
rastrear	suivre à la trace
propenso	sujet
sujeto	sujet
argumento	sujet
asunto	sujet
motivo	sujet
particular	sujet
sujeto	sujet
súbdito	sujet
tema	sujet
conejillo de Indias	sujet d'expérience
comidilla	sujet de conversation
súbdita	sujette
avasallamiento	sujétion
falta de libertad	sujétion
servidumbre	sujétion
subyugación	sujétion
sujeción	sujétion
sulfamida	sulfamide
sufato	sulfate
sulfato	sulfate
sulfatar	sulfater
sulfuro	sulfure
sulfurar	sulfurer
incendiario	sulfureux
sulfuroso	sulfureux
sulfúrico	sulfurique
sultán	sultan
sultanato	sultanat
sultana	sultane
apogeo	summum
auge	summum
cenit	summum
colmo	summum
momento culminante	summum
momento cumbre	summum
punto álgido	summum
súmmun	summum
ápice	summum
bestial	super
brutal	super
bárbaro	super
chévere	super
cojonudo	super
guay	super
súper	super
tope guay	super
súper	super
super 8	super-huit
despampanante	superbe
espléndido	superbe
fenomenal	superbe
magnífico	superbe
maravilloso	superbe
soberbio	superbe
soberbia	superbe
espléndidamente	superbement
magníficamente	superbement
maravillosamente	superbement
supercarburante	supercarburant
falacia	supercherie
superchería	supercherie
superficie	superficie
área	superficie
poco profundo	superficiel
superficial	superficiel
vacío	superficiel
superficialmente	superficiellement
ocioso	superflu
redundante	superflu
sobrante	superflu
superfluo	superflu
lo superfluo	superflu
superfluo	superfétatoire
superlativo	superlatif
superlativo	superlatif
hipermercado	supermarché
supermercado	supermarché
súper	supermarché
superponible	superposable
sobreponer	superposer
superponer	superposer
superponerse	superposer
superposición	superposition
superproducción	superproduction
superpotencia	superpuissance
supersónico	supersonique
superestrella	superstar
supersticiosa	superstitieuse
supersticiosamente	superstitieusement
abusionero	superstitieux
supersticioso	superstitieux
supersticioso	superstitieux
abusión	superstition
superstición	superstition
supervisar	superviser
supervisor	superviseur
supervisora	superviseur
supervisión	supervision
desbancar	supplanter
desplazar	supplanter
substituir	supplanter
suplantar	supplanter
ruego	supplication
suplicación	supplication
súplica	supplication
suplicio	supplice
torturar	supplicier
implorar	supplier
rogar	supplier
suplicar	supplier
instancia	supplique
petición	supplique
ruego	supplique
solicitud	supplique
súplica	supplique
suplencia	suppléance
sustitución	suppléance
suplente	suppléant
reemplazante	suppléant
substituto	suppléant
suplente	suppléant
sustituto	suppléant
reemplazante	suppléante
substituta	suppléante
suplente	suppléante
sustituta	suppléante
compensar	suppléer
desquitar	suppléer
reemplazar	suppléer
reemplazar a	suppléer
reparar	suppléer
resarcir	suppléer
suplir	suppléer
suplir a	suppléer
sustituir	suppléer
sustituir a	suppléer
suplir	suppléer à
anejo	supplément
anexo	supplément
apéndice	supplément
carta adjunta	supplément
complemento	supplément
extra	supplément
sobretasa	supplément
suplemento	supplément
coleccionable	supplément détachable
adicional	supplémentaire
complementario	supplémentaire
especial	supplémentaire
extra	supplémentaire
extraordinario	supplémentaire
suplementario	supplémentaire
supletorio	supplémentaire
apoyo	support
arrimo	support
estante	support
pies	support
puntal	support
soporte	support
sostén	support
sustento	support
sustentáculo	support
trípode	support
aguantable	supportable
llevadero	supportable
soportable	supportable
tolerable	supportable
forofa	supporter
forofo	supporter
hincha	supporter
seguidor	supporter
seguidora	supporter
aguantar	supporter
asumir	supporter
conllevar	supporter
correr con	supporter
llevar	supporter
pasar por	supporter
pechar con	supporter
resistir	supporter
soportar	supporter
soportarse	supporter
sostener	supporter
sufragar	supporter
sufrir	supporter
tolerar	supporter
costear	supporter les frais
financiar	supporter les frais
pagar	supporter les frais
subvenir a	supporter les frais
sufragar	supporter les frais
asumir	supposer
calcular	supposer
dar por supuesto	supposer
poner	supposer
presumir	supposer
presuponer	supposer
suponer	supposer
barrunto	supposition
conjetura	supposition
hipótesis	supposition
presunción	supposition
suposición	supposition
supositorio	suppositoire
supuesto	supposé
abolición	suppression
abrogación	suppression
anulación	suppression
derogación	suppression
revocación	suppression
supresión	suppression
abolir	supprimer
abrogar	supprimer
anular	supprimer
dar la muerte	supprimer
dar muerte	supprimer
derogar	supprimer
eliminar	supprimer
matar	supprimer
retirar	supprimer
suprimir	supprimer
supurar	suppurer
evaluación	supputation
calcular	supputer
evaluar	supputer
supranacional	supranational
ascendiente	suprématie
autoridad	suprématie
primacía	suprématie
superioridad	suprématie
superioridad numérica	suprématie
supremacía	suprématie
insuperable	suprême
más alto	suprême
máximo	suprême
sumo	suprême
superior	suprême
supremo	suprême
último	suprême
suprema	suprême
extraordinariamente	suprêmement
supermercado	supérette
alto	supérieur
de superioridad	supérieur
extra	supérieur
más alto	supérieur
superior	supérieur
supremo	supérieur
superior	supérieur
superior	supérieur hiérarchique
más de	supérieur à
sobre	supérieur à
superior a	supérieur à
superiora	supérieure
superiora	supérieure hiérarchique
superioridad	supériorité
acerca	sur
acedo	sur
agraceño	sur
agriado	sur
agrio	sur
ácido	sur
a	sur
acerca de	sur
de	sur
en	sur
encima de	sur
hacia	sur
para	sur
por	sur
sobre	sur
en eso	sur ce
en esto	sur ce
a petición	sur demande
si así se desea	sur demande
a petición de	sur la demande de
a ruego de	sur la demande de
de puntillas	sur la pointe des pieds
dedillo	sur le bout du doigt
inmediatamente	sur le coup
bastante tarde	sur le tard
en vivo	sur le vif
alerta	sur ses gardes
encima	sur soi
ahorita	sur-le-champ
al instante	sur-le-champ
en el acto	sur-le-champ
en seguida	sur-le-champ
enseguida	sur-le-champ
inmediatamente	sur-le-champ
abundantemente	surabondamment
abundosamente	surabondamment
copiosamente	surabondamment
ociosamente	surabondamment
redundantemente	surabondamment
superfluamente	surabondamment
acopio	surabondance
exuberancia	surabondance
profusión	surabondance
superabundancia	surabondance
abundante	surabondant
abundoso	surabondant
copioso	surabondant
ocioso	surabondant
redundante	surabondant
superabundant	surabondant
superfluo	surabondant
superabundar	surabonder
superactividad	suractivité
muy agudo	suraigu
sobreagudo	suraigu
sobreañadir	surajouter
sobrealimentar	suralimenter
anticuado	suranné
caído en desuso	suranné
desusado	suranné
en desuso	suranné
fósil	suranné
obsoleto	suranné
pasado de moda	suranné
sura	surate
rebajado	surbaissé
overbooking	surbooking
fiesta	surboum
enmienda	surcharge
exceso	surcharge
sobrecarga	surcharge
sobrepeso	surcharge
abrumar	surcharger
enmendar	surcharger
recargar	surcharger
sobrecarga	surcharger
sobrecargar	surcharger
recargado	surchargé
sobrecargado de trabajo	surchargé
recalentamiento	surchauffe
sobrecalentamiento	surchauffe
poner la calefacción muy alta	surchauffer
recalentar	surchauffer
con la calefacción muy alta	surchauffé
excitado	surchauffé
dejar atrás a	surclasser
derrotar	surclasser
superar	surclasser
consumismo	surconsommation
consumo excesivo	surconsommation
aumento	surcroît
sordomudez	surdi-mutité
sordera	surdité
sobredosificación	surdosage
sobredosis	surdose
superdotado	surdoué
superdotada	surdouée
saúco	sureau
exceso de efectivos	sureffectif
demagogia	surenchère
sobrepuja	surenchère
hacer una mejor oferta	surenchérir
prometer más que nadie	surenchérir
pujar	surenchérir
sobrepujar	surenchérir
sobreendeudamiento	surendettement
sobreendeudado	surendetté
sobreestimación	surestimation
sobrestimación	surestimation
supervaloración	surestimation
sobreestimar	surestimer
sobreestimarse	surestimer
sobrestimar	surestimer
sobreexcitación	surexcitation
sobreexcitar	surexciter
sobreexcitado	surexcité
sobreexponer	surexposer
sobreexpuesto	surexposé
surf	surf
surfing	surf
snowboard	surf des neiges
superficie	surface
área de castigo	surface de réparation
superficie de la tierra	surface terrestre
superficie terrestre	surface terrestre
sobreestimado	surfait
hacer surf	surfer
surfista	surfeur
surfista	surfeuse
sobrehilar	surfiler
superfino	surfin
congelar	surgeler
congelado	surgelé
ultracongelado	surgelé
congelado	surgelé
aparecer	surgir
emerger	surgir
surgir	surgir
congelador	surgélateur
ultracongelador	surgélateur
superhombre	surhomme
sobrehumano	surhumain
sobreimpresión	surimpression
a los dos días	surlendemain
dos días después	surlendemain
marcar con rotulador fluorescente	surligner
marcador	surligneur
rotulador	surligneur
subrayador	surligneur
agotamiento	surmenage
sobrefatiga	surmenage
surmenaje	surmenage
agotar	surmener
trabajar demasiado	surmener
agotado	surmené
agotado por exceso de trabajo	surmené
sobreexcitado	surmené
superyó	surmoi
superable	surmontable
allanar	surmonter
coronar	surmonter
digerir	surmonter
encajar	surmonter
remontar	surmonter
salvar	surmonter
sobreponer	surmonter
sortear	surmonter
superar	surmonter
vencer	surmonter
boyar	surnager
flotar	surnager
nadar	surnager
perdurar	surnager
pervivir	surnager
sobrenadar	surnager
prodigioso	surnaturel
sobrenatural	surnaturel
lo sobrenatural	surnaturel
sobrenaturalmente	surnaturellement
alias	surnom
apelativo	surnom
apodo	surnom
mote	surnom
sobrenombre	surnom
de más	surnombre
apellidar	surnommer
apodar	surnommer
apodado	surnommé
llamado por apodo	surnommé
llamado por mote	surnommé
descollar	surpasser
exceder	surpasser
exceder a	surpasser
ganar	surpasser
ganar a	surpasser
sobrepasar	surpasser
sobrepasar a	surpasser
sobrepujar a	surpasser
superar	surpasser
superar a	surpasser
superarse	surpasser
superpoblación	surpeuplement
superpoblado	surpeuplé
sobrepelliz	surplis
desplome	surplomb
desaplomarse	surplomber
dominar	surplomber
demasía	surplus
excedente	surplus
exceso	surplus
sobra	surplus
sobrante	surplus
superávit	surplus
tienda de ropa americana de importación	surplus
tienda de ropa militar americana de segundamano	surplus
superpoblación	surpopulation
notable	surprenant
sorprendente	surprenant
causar sorpresa	surprendre
causar una sorpresa	surprendre
coger	surprendre
coger de improviso	surprendre
coger desprevenido	surprendre
descubrir	surprendre
maravillar	surprendre
pillar	surprendre
sobrecoger	surprendre
sorprender	surprendre
extrañado	surpris
sorprendido	surpris
asombro	surprise
estupefacción	surprise
estupor	surprise
extrañeza	surprise
golpe	surprise
pasmo	surprise
sorpresa	surprise
fiesta	surprise-partie
guateque	surprise-partie
superproducción	surproduction
sobreproteger	surprotéger
superioridad	surpuissance
superioridad numérica	surpuissance
superrealismo	surréalisme
surrealismo	surréalisme
surrealista	surréaliste
surreal	surréel
overbooking	surréservation
arranque	sursaut
sobresalto	sursaut
susto	sursaut
asustarse	sursauter
llevarse un susto	sursauter
sobresaltar	sursauter
sobresaltarse	sursauter
aplazar	surseoir
sobreseer	surseoir
aplazamiento	sursis
condena condicional	sursis
demora	sursis
dilación	sursis
prórroga	sursis
suspensión	sursis
estudiante al que se le concede una prórroga militar	sursitaire
reo en condena condicional	sursitaire
sobretasa	surtaxe
ante todo	surtout
especialmente	surtout
más que nada	surtout
máxime	surtout
sobre todo	surtout
sobre todo porque	surtout que
vigilancia	surveillance
encargada de la disciplina en un colegio	surveillant
generalmente un estudiante	surveillant
guachimán	surveillant
guardián	surveillant
persona	surveillant
persona encargada de la disciplina en un centro escolar	surveillant
vigilante	surveillant
encargada de la disciplina en un colegio	surveillante
generalmente un estudiante	surveillante
guachimán	surveillante
persona	surveillante
persona encargada de la disciplina en un centro escolar	surveillante
vigilante	surveillante
celar	surveiller
controlar	surveiller
cuidar	surveiller
cuidar de	surveiller
cuidarse	surveiller
fiscalizar	surveiller
patrullar	surveiller
supervisar	surveiller
vigilar	surveiller
aparición	survenance
presentación	survenance
presentarse	survenir
producirse	survenir
sobrevenir	survenir
surgir	survenir
subsistencia	survie
supervivencia	survie
vida	survie
supervivencia	survivance
superviviente	survivant
sobreviviente	survivant
superviviente	survivant
sobreviviente	survivante
superviviente	survivante
sobrevivir	survivre
vuelo	survol
vuelo sobre	survol
echar un vistazo	survoler
echar un vistazo a	survoler
repasar	survoler
sobrevolar	survoler
entusiasmado	survolté
excitado	survolté
sobreexcitado	survolté
buzo	survêtement
chandal	survêtement
chándal	survêtement
traje de entrenamiento	survêtement
traje de joggin	survêtement
elevar	surélever
hacer más alto	surélever
realzar	surélever
sobrealzar	surélever
sobreestimación	surévaluation
sobrestimación	surévaluation
supervaloración	surévaluation
encima	sus
susceptibilidad	susceptibilité
agravión	susceptible
berrinchudo	susceptible
capaz	susceptible
enfadadizo	susceptible
enojadizo	susceptible
irascible	susceptible
irritable	susceptible
picajoso	susceptible
predispuesto	susceptible
propenso	susceptible
quisquilloso	susceptible
sensible	susceptible
susceptible	susceptible
fomentar	susciter
mover	susciter
provocar	susciter
suscitar	susciter
despertar el interés	susciter l'intérêt
despertar interés	susciter l'intérêt
dirección	suscription
seña	suscription
antedicho	susdit
antemencionado	susdit
citado	susdit
citado anteriormente	susdit
precitado	susdit
sobredicho	susdit
susodicho	susdit
antedicho	susmentionné
antemencionado	susmentionné
arriba mencionado	susmentionné
citado	susmentionné
citado anteriormente	susmentionné
precitado	susmentionné
sobredicho	susmentionné
susodicho	susmentionné
antedicho	susnommé
antemencionado	susnommé
citado	susnommé
citado anteriormente	susnommé
precitado	susnommé
sobredicho	susnommé
susodicho	susnommé
susodicho	susnommé
susodicha	susnommée
dudoso	suspect
sospechoso	suspect
acusado	suspect
inculpado	suspect
sospechoso	suspect
sospechosa	suspecte
sospechar	suspecter
sospechar de	suspecter
tener malicias	suspecter
tener sospechas	suspecter
aparcar	suspendre
colgar	suspendre
dejar en suspenso	suspendre
suspender	suspendre
colgante	suspendu
con suspensión	suspendu
pendiente	suspendu
suspendido	suspendu
suspenso	suspendu
pendiente	suspens
intriga	suspense
suspense	suspense
suspensión	suspense
lámpara	suspension
lámpara de techo	suspension
suspensión	suspension
desconfiadamente	suspicieusement
suspicazmente	suspicieusement
desconfiado	suspicieux
receloso	suspicieux
suspicaz	suspicieux
sospecha	suspicion
suspicacia	suspicion
sustentación	sustentation
barbotar	susurrer
barbotear	susurrer
hablar entre dientes	susurrer
mascullar	susurrer
murmurar	susurrer
musitar	susurrer
susurrar	susurrer
sutura	suture
suturar	suturer
chupetón	suçon
chupar	suçoter
chupetear	suçoter
libar	suçoter
ante	suède
sueco	suédois
sueco	suédois
sueca	suédoise
de ante	suédé
sudor	suée
esvástica	svastika
svástica	svastika
delgado	svelte
esbelto	svelte
esbeltez	sveltesse
esvástica	swastika
sudadera	sweat-shirt
bailar el swing	swinguer
sibarita	sybarite
sílaba	syllabe
sílfide	sylphide
arboricultura	sylviculture
silvicultura	sylviculture
simbiosis	symbiose
simbiótico	symbiotique
imagen	symbole
señal	symbole
signo	symbole
símbolo	symbole
emblemático	symbolique
simbólico	symbolique
simbolismo	symbolique
simbología	symbolique
emblemáticamente	symboliquement
simbólicamente	symboliquement
personificar	symboliser
simbolizar	symboliser
simbolismo	symbolisme
majo	sympa
simpático	sympa
simpatía	sympathie
acogedor	sympathique
agradable	sympathique
simpático	sympathique
simpáticamente	sympathiquement
simpatizante	sympathisant
simpatizante	sympathisant
simpatizante	sympathisante
congeniar	sympathiser
congeniar con	sympathiser
entenderse con	sympathiser
simpatizar	sympathiser
simpatizar con	sympathiser
sinfonía	symphonie
sinfónico	symphonique
sinfónicamente	symphoniquement
simposio	symposium
simposium	symposium
sintomático	symptomatique
síntoma	symptôme
simetría	symétrie
simétrico	symétrique
simétricamente	symétriquement
aljama	synagogue
sinagoga	synagogue
síncrono	synchrone
sincronía	synchronie
sincrónico	synchronique
sincronización	synchronisation
sincronía	synchronisation
sincronizar	synchroniser
simultaneidad	synchronisme
sincronismo	synchronisme
sincronía	synchronisme
parada cardíaca	syncope
síncopa	syncope
síncope	syncope
sincopado	syncopé
presidente de la comunidad de propietarios	syndic
sindical	syndical
movimiento sindicalista	syndicalisme
sindicalismo	syndicalisme
sindicalista	syndicaliste
sindicalista	syndicaliste
sindicato	syndicat
oficina de turismo	syndicat d'initiative
oficina de turismo	syndicat d'initiatives
comunidad de propietarios	syndicat de copropriétaires
movimiento obrero	syndicat ouvrier
organización obrera	syndicat ouvrier
sindicar	syndiquer
sindicado	syndiqué
sindicado	syndiqué
sindicada	syndiquée
síndrome	syndrome
sinergia	synergie
sínodo	synode
sinonímico	synonyme
sinónimo	synonyme
sinónima	synonyme
sinónimo	synonyme
sinonímico	synonymique
sinónimo	synonymique
sinopsis	synopsis
sinóptico	synoptique
sinovia	synovie
sintáctico	syntactique
sintagma	syntagme
sintaxis	syntaxe
síntesis	synthèse
sintético	synthétique
sintéticamente	synthétiquement
sintetizar	synthétiser
sintetizador	synthétiseur
sintonizar	syntoniser
radio	syntoniseur
avariosis	syphilis
gálico	syphilis
lúes	syphilis
sífilis	syphilis
sirio	syrien
sirio	syrien
siria	syrienne
sistema	système
dispositivo de alarma	système d'alerte
sistema de alarma	système d'alerte
tren de aterrizaje	système d'atterrissage
procesador	système de traitement
metódico	systématique
ordenado	systématique
sistemático	systématique
metódicamente	systématiquement
ordenadamente	systématiquement
por sistema	systématiquement
sistemáticamente	systématiquement
generalizar	systématiser
sistematizar	systématiser
hermana	sœur
hermano	sœur
monja	sœur
religiosa	sœur
sor	sœur
hermana gemela	sœur jumelle
alfaque	sèche
bajo	sèche
bajo de arena	sèche
bajío	sèche
bancal	sèche
banco de arena	sèche
barra	sèche
pitillo	sèche
secador	sèche-cheveux
secapelos	sèche-cheveux
secamanos	sèche-mains
secamente	sèchement
savia	sève
descarnar	sé décharner
audiencia	séance
escena	séance
función	séance
sesión	séance
sesión del tribunal	séance
pleno	séance plénière
en el acto	séance tenante
sebo	sébum
divisible	sécable
secante	sécant
secante	sécante
podadera	sécateur
podadora	sécateur
tijeras de podar	sécateur
secesión	sécession
curado	séchage
secado	séchage
curtir	sécher
desecarse	sécher
enjugar	sécher
estar pez	sécher
fumarse	sécher
marchitarse	sécher
secar	sécher
secarse	sécher
faltar a la escuela	sécher la classe
fumarse la clase	sécher la classe
hacer novillos	sécher la classe
soplarse la clase	sécher la classe
faltar a la escuela	sécher un cours
fumarse la clase	sécher un cours
hacer novillos	sécher un cours
soplarse la clase	sécher un cours
aridez	sécheresse
seca	sécheresse
sequedad	sécheresse
sequía	sécheresse
secadora	sécheuse
secadero	séchoir
secador	séchoir
secadora	séchoir
tendedero	séchoir
curado	séché
rezumar	sécréter
secretar	sécréter
segregar	sécréter
secreción	sécrétion
segregación	sécrétion
secular	séculaire
secularizar	séculariser
secular	séculier
seglar	séculier
secular	séculier
tranquilizador	sécurisant
tranquilizar	sécuriser
Seguridad Social	sécurité
seguridad	sécurité
seguro	sécurité
sedante	sédatif
sedativo	sédatif
analgésico	sédatif
anodino	sédatif
antipirina	sédatif
calmante	sédatif
sedante	sédatif
sedentario	sédentaire
sedentaria	sédentaire
sedentario	sédentaire
sedentarización	sédentarisation
volverse sedentaria	sédentariser
volverse sedentario	sédentariser
sedentarismo	sédentarité
asiento	sédiment
hez	sédiment
poso	sédiment
sedimento	sédiment
sedimentario	sédimentaire
sedimentación	sédimentation
sediciosamente	séditieusement
bullicioso	séditieux
insurgente	séditieux
rebelde	séditieux
revoltoso	séditieux
sedicioso	séditieux
alzamiento	sédition
asonada	sédition
rebelión	sédition
revuelta	sédition
sedición	sédition
sublevación	sédition
conquistador	séducteur
cautivador	séducteur
conquistador	séducteur
seductor	séducteur
atractivo	séduction
encanto	séduction
fascinación	séduction
seducción	séduction
tentación	séduction
cautivadora	séductrice
conquistadora	séductrice
seductora	séductrice
castigar	séduire
encantar	séduire
fascinar	séduire
ligar	séduire
llevar al huerto	séduire
seducir	séduire
tentar	séduire
atractivo	séduisant
atrayente	séduisant
seductor	séduisant
sugestivo	séduisant
tentador	séduisant
segregación	ségrégation
segregacionista	ségrégationniste
segregacionista	ségrégationniste
seguidilla	séguedille
movimiento sísmico	séisme
seísmo	séisme
temblor de tierra	séisme
terremoto	séisme
cuarto de estar	séjour
estancia	séjour
living	séjour
morada	séjour
permanencia	séjour
sala de estar	séjour
salón	séjour
estar	séjourner
hospedarse	séjourner
parar	séjourner
pasar una temporada	séjourner
permanecer	séjourner
selector	sélecteur
selectivo	sélectif
elección	sélection
selección	sélection
clasificar	sélectionner
elegir	sélectionner
entresacar	sélectionner
seleccionar	sélectionner
seleccionador	sélectionneur
seleccionadora	sélectionneuse
seleccionado	sélectionné
por selección	sélectivement
selectivamente	sélectivement
semántico	sémantique
semántica	sémantique
semáforo	sémaphore
seminario	séminaire
seminarista	séminariste
semiología	sémiologie
semiótica	sémiotique
semita	sémite
semita	sémite
semito	sémite
semítico	sémitique
senado	sénat
senadoa	sénateur
senador	sénateur
senadora	sénateur
encanecimiento	sénescence
envejecimiento	sénescence
senescencia	sénescence
chocho	sénile
demente	sénile
senil	sénile
senilidad	sénilité
antigüedad	séniorité
senegalés	sénégalais
senegalés	sénégalais
senegalesa	sénégalaise
sépalo	sépale
disociable	séparable
separable	séparable
cerca medianera	séparation
división	séparation
medianería	séparation
segregación	séparation
separación	séparation
separatismo	séparatisme
separatista	séparatiste
apartar	séparer
desacoplar	séparer
desagregar	séparer
desjuntar	séparer
desunir	séparer
disgregar	séparer
disociar	séparer
dividir	séparer
escindir	séparer
escoger	séparer
segregar	séparer
separar	séparer
separar de	séparer
separarse	séparer
distinto	séparé
separado	séparé
aparte	séparément
por separado	séparément
separadamente	séparément
sepia	sépia
dibujo	sépia
sepia	sépia
sepulcral	sépulcral
sepulcro	sépulcre
enterramiento	sépulture
sepulcro	sépulture
sepultura	sépulture
tumba	sépulture
yacija	sépulture
secuela	séquelle
escalera	séquence
secuencia	séquence
detención	séquestration
encarcelamiento	séquestration
depositar	séquestrer
plagiar	séquestrer
secuestrar	séquestrer
cadena	série
categoría	série
gama	série
retahíla	série
rosario	série
sarta	série
serie	série
sucesión	série
tanda	série
con seriedad	sérieusement
de verdad	sérieusement
en serio	sérieusement
gravemente	sérieusement
seriamente	sérieusement
formal	sérieux
grave	sérieux
serio	sérieux
formalidad	sérieux
gravedad	sérieux
seriedad	sérieux
serigrafía	sérigraphie
seronegativo	séronégatif
seronegativa	séronégative
seropositivo	séropositif
seropositiva	séropositive
seropositividad	séropositivité
suero	sérum
serenata	sérénade
ecuanimidad	sérénité
serenidad	sérénité
llave	sésame
sésamo	sésame
malos tratos	sévices
maltratamiento	sévices
maltrato	sévices
sevicia	sévices
castigar duramente	sévir
haber	sévir
hacer estragos	sévir
adusto	sévère
duro	sévère
estricto	sévère
riguroso	sévère
rígido	sévère
serio	sévère
severo	sévère
sobrio	sévère
con severidad	sévèrement
duramente	sévèrement
estrictamente	sévèrement
rigurosamente	sévèrement
rígidamente	sévèrement
severamente	sévèrement
severidad	sévérité
certero	sûr
cierto	sûr
cumplidor	sûr
de confianza	sûr
firme	sûr
impepinable	sûr
seguro	sûr
aplomado	sûr de soi
confiado	sûr de soi
seguro	sûr de soi
seguro de sí mismo	sûr de soi
a buen recaudo	sûrement
a salvo	sûrement
aseveradamente	sûrement
aseverado	sûrement
averiguadamente	sûrement
averiguado	sûrement
ciertamente	sûrement
cierto	sûrement
con seguridad	sûrement
de confianza	sûrement
de seguro	sûrement
seguramente	sûrement
seguro	sûrement
fiabilidad	sûreté
seguridad	sûreté
seguro	sûreté
tiento	sûreté de main
te	t
te	t'
ti	t'
tabaco	tabac
estanco	tabac
picadura	tabac
tabaco	tabac
tabaco de hebra	tabac
tabaco picado	tabac
picadura	tabac haché
rapé	tabac à priser
estanco	tabagie
lugar	tabagie
tabaquismo	tabagisme
tabasco	tabasco
dar una paliza	tabasser
petaca	tabatière
tabaquera	tabatière
notario	tabellion
tabernáculo	tabernacle
cuadro	table
cuadro sinóptico	table
mesa	table
mesa de comedor	table
tabla	table
puesto de escucha	table d'écoutes
mesa de banquete	table de banquet
tabla de multiplicar	table de multiplication
buró	table de nuit
nochero	table de nuit
escritorio	table de travail
índice	table des matières
mesa	table ronde
cuadro	tableau
cuadro sinóptico	tableau
encerado	tableau
escena	tableau
espectáculo	tableau
lista	tableau
panel	tableau
pintura	tableau
pizarra	tableau
retrato	tableau
tabla	tableau
tablero	tableau
tablón	tableau
marcador	tableau d'affichage
escalafón	tableau d'avancement
cuadro de honor	tableau d'honneur
cuadro de mandos	tableau de bord
panel	tableau de bord
salpicadero	tableau de bord
tablero	tableau de bord
encerado	tableau noir
pizarra	tableau noir
tablero	tableau noir
contar	tabler
repisa	tablette
tabla	tablette
tableta	tablette
hoja de cálculo	tableur
babi	tablier
bata	tablier
delantal	tablier
mandil	tablier
pantalla	tablier
persiana	tablier
persiana metálica	tablier
piso	tablier
tabloide	tabloïde
mesa	tablée
tabú	tabou
tabú	tabou
cebolla y tomate picado	taboulé
plato libanés elaborado con sémola de trigo	taboulé
banqueta	tabouret
escabel	tabouret
taburete	tabouret
tabulador	tabulateur
tabular	tabuler
borrón	tache
chorretón	tache
lunar	tache
lámpara	tache
mancha	tache
mácula	tache
picadura	tache
pinta	tache
salpicadura	tache
salpicón	tache
tacha	tache
borrón	tache d'encre
gotera	tache d'humidité
peca	tache de rousseur
manchar	tacher
mancharse	tacher
pringar	tacher
pringar	tacher de graiss)
tiznar	tacher de noir
motear	tacheter
moteado	tacheté
pintado	tacheté
pinto	tacheté
aleteo	tachycardie
palpitación	tachycardie
taquicardia	tachycardie
tácito	tacite
tácitamente	tacitement
taciturno	taciturne
plancha	tacle
cacharro	tacot
delicadeza	tact
tacto	tact
tiento	tact
táctico	tacticien
táctica	tacticienne
táctil	tactile
táctico	tactique
táctica	tactique
con táctica	tactiquement
tayik	tadjik
tayik	tadjik
tae kwon do	taekwondo
chupada	taffe
tafetán	taffetas
glasé	taffetas glacé
graffiti	tag
graffitti	tag
pintada	tag
tag	tag
estofado de carne o de verduras servido en un cuenco	tagine
tagliatelle	tagliatelle
tallarines	tagliatelles
hacer graffitis	taguer
hacer pintadas	taguer
autor	tagueur
grafitero	tagueur
tagger	tagueur
autora	tagueuse
grafitera	tagueuse
tagger	tagueuse
tahitiano	tahitien
tahitiano	tahitien
tahitiana	tahitienne
tai-chi	tai-chi
tai-chi	tai-ki
funda	taie
nube	taie
tai-chi	taiji
chirlo	taillade
corte	taillade
muesca	taillade
raja	taillade
tajo	taillade
cortar	taillader
altura	taille
calibre	taille
cintura	taille
estatura	taille
número	taille
proporción	taille
tala	taille
talla	taille
talle	taille
tamaño	taille
afilalápices	taille-crayon
cortalápices	taille-crayon
sacapuntas	taille-crayon
abrirse	tailler
afilar	tailler
aguzar	tailler
alicatar	tailler
cortar	tailler
escodar	tailler
hachear	tailler
largarse	tailler
picar	tailler
podar	tailler
talar	tailler
tallar	tailler
estar de palique	tailler une bavette
pegar la hebra	tailler une bavette
cantero	tailleur
modista	tailleur
modisto	tailleur
sastra	tailleur
sastre	tailleur
tallista	tailleur
traje	tailleur
traje de chaqueta	tailleur
traje sastre	tailleur
modista	tailleuse
sastra	tailleuse
bosquecillo	taillis
monte bajo	taillis
afilado	taillé
cortado	taillé
hecho	taillé
tallado	taillé
azogue	tain
callar	taire
callarse	taire
cesar	taire
dejar oírse	taire
ocultar	taire
silenciar	taire
estofado de carne o de verduras servido en un cuenco	tajine
talco	talc
disposicion	talent
dote	talent
facilidad	talent
gracia	talent
madera	talent
talento	talent
de talento	talentueux
dotado de talento	talentueux
talentoso	talentueux
magullar	taler
talión	talion
talismán	talisman
walkie-talkie	talkie-walkie
bofetada	taloche
bofetón	taloche
cachetazo	taloche
cachete	taloche
chuleta	taloche
golpe	taloche
llama	taloche
sopetón	taloche
torta	taloche
matriz	talon
montón	talon
punta	talon
taco	talon
tacón	talon
talón	talon
tapa	talon
acosar	talonner
andar tras	talonner
cazar	talonner
dar caza	talonner
